time	V(n007)
0,000000000000000e+000	0,000000e+000
2,397394687635841e-002	0,000000e+000
2,402417009064413e-002	0,000000e+000
2,407439330492985e-002	0,000000e+000
2,412461651921556e-002	0,000000e+000
2,417483973350128e-002	0,000000e+000
2,422506294778699e-002	0,000000e+000
2,427528616207271e-002	0,000000e+000
2,432550937635843e-002	0,000000e+000
2,438410312635843e-002	0,000000e+000
2,444269687635843e-002	0,000000e+000
2,447199375135843e-002	0,000000e+000
2,450129062635843e-002	0,000000e+000
2,453058750135843e-002	0,000000e+000
2,455988437635844e-002	0,000000e+000
2,458918125135844e-002	0,000000e+000
2,461847812635844e-002	0,000000e+000
2,464777500135844e-002	0,000000e+000
2,467707187635844e-002	0,000000e+000
2,470636875135844e-002	0,000000e+000
2,473566562635844e-002	0,000000e+000
2,476496250135844e-002	0,000000e+000
2,479425937635844e-002	0,000000e+000
2,482355625135845e-002	0,000000e+000
2,485285312635845e-002	0,000000e+000
2,488215000135845e-002	0,000000e+000
2,491144687635845e-002	0,000000e+000
2,494074375135845e-002	0,000000e+000
2,497004062635845e-002	0,000000e+000
2,499933750135845e-002	0,000000e+000
2,502863437635845e-002	0,000000e+000
2,506159336073345e-002	0,000000e+000
2,507848188979573e-002	0,000000e+000
2,507848367793507e-002	0,000000e+000
2,507848412496991e-002	0,000000e+000
2,507848457553196e-002	0,000000e+000
2,507848482928367e-002	0,000000e+000
2,507848513293921e-002	0,000000e+000
2,507848544305875e-002	0,000000e+000
2,507848566070482e-002	0,000000e+000
2,507848579182944e-002	0,000000e+000
2,507848592747513e-002	0,000000e+000
2,507848605396524e-002	0,000000e+000
2,507848635076945e-002	0,000000e+000
2,507848662206186e-002	0,000000e+000
2,507848716464666e-002	0,000000e+000
2,507848780264064e-002	0,000000e+000
2,507848858623661e-002	0,000000e+000
2,507848860996366e-002	0,000000e+000
2,507848865741774e-002	0,000000e+000
2,507848871330796e-002	0,000000e+000
2,507848878361232e-002	0,000000e+000
2,507848885708696e-002	0,000000e+000
2,507848898729516e-002	0,000000e+000
2,507848915860229e-002	0,000000e+000
2,507848937701133e-002	0,000000e+000
2,507848964851877e-002	0,000000e+000
2,507849002797288e-002	0,000000e+000
2,507849050548535e-002	0,000000e+000
2,507849114843990e-002	0,000000e+000
2,507849199326896e-002	0,000000e+000
2,507849240241911e-002	0,000000e+000
2,507849264949220e-002	0,000000e+000
2,507849279027827e-002	0,000000e+000
2,507849293260829e-002	0,000000e+000
2,507849308166288e-002	0,000000e+000
2,507849323068916e-002	0,000000e+000
2,507849339123459e-002	1,000000e+000
2,507849354138087e-002	1,000000e+000
2,507849369248305e-002	1,000000e+000
2,507849385690113e-002	1,000000e+000
2,507849407638696e-002	1,000000e+000
2,507849430897501e-002	1,000000e+000
2,507849443143276e-002	1,000000e+000
2,507849460738537e-002	1,000000e+000
2,507849470000071e-002	1,000000e+000
2,507849481984536e-002	1,000000e+000
2,507849502528249e-002	1,000000e+000
